trip_id,start_time,end_time,headway_secs
"334","05:00:00","22:00:00","900"
"335","05:00:00","22:00:00","900"
"336","05:00:00","22:00:00","900"
"337","05:00:00","22:00:00","900"
"338","05:00:00","22:00:00","900"
"339","05:00:00","22:00:00","900"
"340","05:00:00","22:00:00","900"
"341","05:00:00","22:00:00","900"
"342","05:00:00","22:00:00","900"
"343","05:00:00","22:00:00","900"
"344","05:00:00","22:00:00","900"
"345","05:00:00","22:00:00","900"
"346","05:00:00","22:00:00","900"
"347","05:00:00","22:00:00","900"
"348","05:00:00","22:00:00","900"
"349","05:00:00","22:00:00","900"
"351","05:00:00","22:00:00","900"
"353","22:00:00","29:00:00","1200"
"354","22:00:00","29:00:00","1200"
"355","05:00:00","22:00:00","900"
"356","05:00:00","22:00:00","900"
"357","05:00:00","22:00:00","900"
"358","05:00:00","22:00:00","900"
"359","05:00:00","22:00:00","900"
"360","05:00:00","22:00:00","900"
"361","05:00:00","22:00:00","900"
"362","05:00:00","22:00:00","900"
"363","05:00:00","22:00:00","900"
"364","05:00:00","22:00:00","900"
"365","05:00:00","22:00:00","900"
"366","05:00:00","22:00:00","900"
"367","05:00:00","22:00:00","900"
"368","05:00:00","22:00:00","900"
"369","05:00:00","22:00:00","900"
"370","05:00:00","22:00:00","900"
"371","05:00:00","22:00:00","900"
"372","05:00:00","22:00:00","900"
"373","05:00:00","22:00:00","900"
"374","05:00:00","22:00:00","900"
"375","05:00:00","22:00:00","900"
"376","05:00:00","22:00:00","900"
"377","05:00:00","22:00:00","900"
"378","05:00:00","22:00:00","900"
"379","05:00:00","22:00:00","900"
"380","05:00:00","22:00:00","900"
"381","05:00:00","22:00:00","900"
"382","05:00:00","22:00:00","900"
"383","05:00:00","22:00:00","900"
"384","05:00:00","22:00:00","900"
"385","22:00:00","29:00:00","1200"
"386","05:00:00","22:00:00","900"
"387","05:00:00","22:00:00","900"
"388","22:00:00","29:00:00","1200"
"389","05:00:00","22:00:00","900"
"390","05:00:00","22:00:00","900"
"391","05:00:00","22:00:00","900"
"392","05:00:00","22:00:00","900"
"393","05:00:00","22:00:00","900"
"394","05:00:00","22:00:00","900"
"395","05:00:00","22:00:00","900"
"396","05:00:00","22:00:00","900"
"397","05:00:00","22:00:00","900"
"398","05:00:00","22:00:00","900"
"399","05:00:00","22:00:00","900"
"400","05:00:00","22:00:00","900"
"401","05:00:00","22:00:00","900"
"402","05:00:00","22:00:00","900"
"403","05:00:00","22:00:00","900"
"404","05:00:00","22:00:00","900"
"405","05:00:00","22:00:00","900"
"406","05:00:00","22:00:00","900"
"407","05:00:00","22:00:00","900"
"408","05:00:00","22:00:00","900"
"409","05:00:00","22:00:00","900"
"410","05:00:00","22:00:00","900"
"411","05:00:00","22:00:00","900"
"412","05:00:00","22:00:00","900"
"413","05:00:00","22:00:00","900"
"414","04:10:00","08:30:00","1200"
"414","08:30:00","16:00:00","1800"
"414","16:00:00","19:00:00","1200"
"414","19:00:00","22:00:00","1800"
"415","05:40:00","09:00:00","1200"
"415","09:00:00","16:00:00","1800"
"415","16:00:00","19:00:00","1200"
"415","19:00:00","20:00:00","1800"
"416","05:40:00","09:00:00","1200"
"416","09:00:00","16:00:00","1800"
"416","16:00:00","19:00:00","1200"
"416","19:00:00","20:30:00","1800"
"417","05:10:00","08:30:00","1200"
"417","08:30:00","16:00:00","1800"
"417","16:00:00","19:00:00","1200"
"417","19:00:00","23:00:00","1800"
"418","06:20:00","09:00:00","1200"
"418","09:00:00","16:00:00","1800"
"418","16:00:00","19:00:00","1200"
"418","19:00:00","20:30:00","1800"
"419","06:20:00","09:00:00","1200"
"419","09:00:00","16:00:00","1800"
"419","16:00:00","19:00:00","1200"
"419","19:00:00","20:30:00","1800"
"420","05:00:00","22:00:00","900"
"421","05:00:00","22:00:00","900"
"422","05:00:00","22:00:00","900"
"423","05:00:00","22:00:00","900"
"424","05:00:00","22:00:00","900"
"425","05:00:00","22:00:00","900"
"426","05:00:00","22:00:00","900"
"427","05:00:00","22:00:00","900"
"428","05:00:00","22:00:00","900"
"429","05:00:00","22:00:00","900"
"430","05:00:00","22:00:00","900"
"431","05:00:00","22:00:00","900"
"432","05:00:00","22:00:00","900"
"433","05:00:00","22:00:00","900"
"434","05:00:00","22:00:00","900"
"435","05:00:00","22:00:00","900"
"436","05:00:00","22:00:00","900"
"437","05:00:00","22:00:00","900"
"438","05:00:00","22:00:00","900"
"439","05:00:00","22:00:00","900"
"440","05:00:00","22:00:00","900"
"441","05:00:00","22:00:00","900"
"442","05:00:00","22:00:00","900"
"443","05:00:00","22:00:00","900"
"444","05:00:00","22:00:00","900"
"445","05:00:00","22:00:00","900"
"446","05:00:00","22:00:00","900"
"447","05:00:00","22:00:00","900"
"448","05:00:00","22:00:00","900"
"449","05:00:00","22:00:00","900"
"450","05:00:00","22:00:00","900"
"451","05:00:00","22:00:00","900"
"452","05:00:00","22:00:00","900"
"453","05:00:00","22:00:00","900"
"454","05:00:00","22:00:00","900"
"455","05:00:00","22:00:00","900"
"456","05:00:00","22:00:00","900"
"457","05:00:00","22:00:00","900"
"458","05:00:00","22:00:00","900"
"459","05:00:00","22:00:00","900"
"460","05:00:00","22:00:00","900"
"461","05:00:00","22:00:00","900"
"462","05:00:00","22:00:00","900"
"463","05:00:00","22:00:00","900"
"464","05:00:00","22:00:00","900"
"465","05:00:00","22:00:00","900"
"466","05:00:00","22:00:00","900"
"467","05:00:00","22:00:00","900"
"468","05:00:00","22:00:00","900"
"469","05:00:00","22:00:00","900"
"470","05:00:00","22:00:00","900"
"471","05:00:00","22:00:00","900"
"472","05:00:00","22:00:00","900"
"473","22:00:00","29:00:00","1200"
"475","05:00:00","22:00:00","900"
"476","22:00:00","29:00:00","1200"
"477","05:00:00","22:00:00","900"
"479","05:00:00","22:00:00","900"
"480","05:00:00","22:00:00","900"
"481","05:00:00","22:00:00","900"
"482","05:00:00","22:00:00","900"
"483","05:00:00","22:00:00","900"
"484","05:00:00","22:00:00","900"
"485","05:00:00","22:00:00","900"
"486","22:00:00","29:00:00","1200"
"487","05:00:00","22:00:00","900"
"488","23:00:00","29:00:00","1200"
"489","05:00:00","22:00:00","900"
"490","05:00:00","22:00:00","900"
"491","05:00:00","22:00:00","900"
"492","05:00:00","22:00:00","900"
"493","05:00:00","22:00:00","900"
"494","05:00:00","22:00:00","900"
"495","05:00:00","22:00:00","900"
"496","05:00:00","22:00:00","900"
"497","05:00:00","22:00:00","900"
"498","05:00:00","22:00:00","900"
"499","05:00:00","22:00:00","900"
"500","05:00:00","22:00:00","900"
"501","05:00:00","22:00:00","900"
"502","05:00:00","22:00:00","900"
"503","05:00:00","22:00:00","900"
"504","05:00:00","22:00:00","900"
"505","05:00:00","22:00:00","900"
"506","05:00:00","22:00:00","900"
"507","05:00:00","22:00:00","900"
"508","05:00:00","22:00:00","900"
"509","05:00:00","22:00:00","900"
"510","05:00:00","22:00:00","900"
"511","05:00:00","22:00:00","900"
"512","05:00:00","22:00:00","900"
"513","05:00:00","22:00:00","900"
"514","05:00:00","22:00:00","900"
"515","05:00:00","22:00:00","900"
"516","05:00:00","22:00:00","900"
"517","05:00:00","22:00:00","900"
"518","22:00:00","29:00:00","1200"
"519","05:00:00","22:00:00","900"
"520","05:00:00","22:00:00","900"
"521","22:00:00","29:00:00","1200"
"522","05:00:00","22:00:00","900"
"523","05:00:00","22:00:00","900"
"524","05:00:00","22:00:00","900"
"525","05:00:00","22:00:00","900"
"526","05:00:00","22:00:00","900"
"527","05:00:00","22:00:00","900"
"528","22:00:00","29:00:00","1200"
"529","05:00:00","22:00:00","900"
"530","05:00:00","22:00:00","900"
"531","22:00:00","29:00:00","1200"
"532","05:00:00","22:00:00","900"
"533","05:00:00","22:00:00","900"
"534","05:00:00","22:00:00","900"
"535","22:00:00","29:00:00","1200"
"536","22:00:00","29:00:00","1200"
"537","05:00:00","22:00:00","900"
"538","05:00:00","22:00:00","900"
"539","05:00:00","22:00:00","900"
"540","05:00:00","22:00:00","900"
"542","05:00:00","22:00:00","900"
"543","05:00:00","22:00:00","900"
"549","05:00:00","22:00:00","900"
"550","05:00:00","22:00:00","900"
"551","05:00:00","22:00:00","900"
"552","05:00:00","22:00:00","900"
"553","05:00:00","22:00:00","900"
"554","05:00:00","22:00:00","900"
"555","05:00:00","22:00:00","900"
"556","05:00:00","22:00:00","900"
"557","05:00:00","22:00:00","900"
"558","05:00:00","22:00:00","900"
"559","05:00:00","22:00:00","900"
"560","05:00:00","22:00:00","900"
"561","05:00:00","22:00:00","900"
"562","05:00:00","22:00:00","900"
"563","22:00:00","29:00:00","1200"
"564","22:00:00","29:00:00","1200"
"565","05:00:00","22:00:00","900"
"566","22:00:00","29:00:00","1200"
"567","22:00:00","29:00:00","1200"
"568","05:00:00","22:00:00","900"
"569","05:00:00","22:00:00","900"
"570","05:00:00","22:00:00","900"
"571","05:00:00","22:00:00","900"
"572","05:00:00","22:00:00","900"
"573","05:00:00","22:00:00","900"
"574","05:00:00","22:00:00","900"
"575","05:00:00","22:00:00","900"
"576","05:00:00","22:00:00","900"
"577","22:00:00","29:00:00","1200"
"578","05:00:00","22:00:00","900"
"579","22:00:00","29:00:00","1200"
"580","05:00:00","22:00:00","900"
"581","05:00:00","22:00:00","900"
"582","05:00:00","22:00:00","900"
"583","05:00:00","22:00:00","900"
"584","05:00:00","22:00:00","900"
"585","05:00:00","22:00:00","900"
"586","05:00:00","22:00:00","900"
"587","05:00:00","22:00:00","900"
"588","05:00:00","22:00:00","900"
"589","05:00:00","22:00:00","900"
"590","05:00:00","22:00:00","900"
"591","05:00:00","22:00:00","900"
"592","05:00:00","22:00:00","900"
"593","05:00:00","22:00:00","900"
"594","05:00:00","22:00:00","900"
"595","05:00:00","22:00:00","900"
"596","05:00:00","22:00:00","900"
"597","05:00:00","22:00:00","900"
"598","05:00:00","22:00:00","900"
"599","22:00:00","29:00:00","1200"
"600","05:00:00","22:00:00","900"
"601","05:00:00","22:00:00","900"
"602","22:00:00","29:00:00","1200"
"603","05:00:00","22:00:00","900"
"604","05:00:00","22:00:00","900"
"605","05:00:00","22:00:00","900"
"606","05:00:00","22:00:00","900"
"607","05:00:00","22:00:00","900"
"608","05:00:00","22:00:00","900"
"609","05:00:00","22:00:00","900"
"610","05:00:00","22:00:00","900"
"611","05:00:00","22:00:00","900"
"612","05:00:00","22:00:00","900"
"613","05:00:00","22:00:00","900"
"614","05:00:00","22:00:00","900"
"615","05:00:00","22:00:00","900"
"616","05:00:00","22:00:00","900"
"617","05:00:00","22:00:00","900"
"618","05:00:00","22:00:00","900"
"619","05:00:00","22:00:00","900"
"620","05:00:00","22:00:00","900"
"621","05:00:00","22:00:00","900"
"622","05:00:00","22:00:00","900"
"623","05:00:00","22:00:00","900"
"624","05:00:00","22:00:00","900"
"625","05:00:00","22:00:00","900"
"626","05:00:00","22:00:00","900"
"627","05:00:00","22:00:00","900"
"628","05:00:00","22:00:00","900"
"629","05:00:00","22:00:00","900"
"630","05:00:00","22:00:00","900"
"631","05:00:00","22:00:00","900"
"632","05:00:00","22:00:00","900"
"633","05:00:00","22:00:00","900"
"634","05:00:00","22:00:00","900"
"635","05:00:00","22:00:00","900"
"636","05:00:00","22:00:00","900"
"637","05:00:00","22:00:00","900"
"638","05:00:00","22:00:00","900"
"639","05:00:00","22:00:00","900"
"640","05:00:00","22:00:00","900"
"641","05:00:00","22:00:00","900"
"642","05:00:00","22:00:00","900"
"643","05:00:00","22:00:00","900"
"644","05:00:00","22:00:00","900"
"645","05:00:00","22:00:00","900"
"646","05:00:00","22:00:00","900"
"647","05:00:00","22:00:00","900"
"648","05:00:00","22:00:00","900"
"649","05:00:00","22:00:00","900"
"650","05:00:00","22:00:00","900"
